,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
gonzaga,1st,50th,1st,1st,36th,1st,146th,232nd,48th,16th,29th,96th,224th,25th,83rd,2nd,45th,217th,257th,253rd,1st
norfolk-state,195th,122nd,250th,217th,115th,311th,121st,201st,51st,39th,34th,192nd,157th,108th,116th,251st,167th,163rd,193rd,43rd,112th
oklahoma,93rd,77th,164th,126th,137th,149th,114th,110th,158th,161st,207th,60th,183rd,126th,144th,165th,92nd,106th,318th,325th,89th
missouri,162nd,193rd,139th,149th,188th,101st,197th,169th,236th,51st,45th,207th,162nd,145th,147th,169th,154th,115th,160th,32nd,113th
creighton,35th,91st,41st,128th,264th,19th,24th,29th,67th,326th,295th,328th,266th,50th,143rd,43rd,111th,144th,314th,305th,63rd
california-santa-barbara,63rd,227th,23rd,38th,132nd,26th,235th,260th,129th,77th,117th,48th,205th,141st,176th,24th,75th,226th,322nd,276th,64th
virginia,197th,329th,34th,266th,328th,29th,65th,127th,32nd,336th,347th,3rd,339th,200th,314th,124th,311th,39th,345th,345th,257th
ohio,20th,62nd,24th,35th,144th,16th,75th,90th,109th,203rd,194th,198th,181st,160th,170th,10th,177th,310th,255th,279th,29th
southern-california,62nd,170th,40th,30th,50th,96th,257th,304th,70th,125th,51st,324th,53rd,55th,34th,120th,320th,10th,237th,315th,79th
drake,16th,72nd,19th,7th,26th,50th,200th,267th,53rd,307th,320th,168th,137th,144th,126th,136th,111th,188th,339th,286th,67th
kansas,122nd,79th,198th,137th,108th,217th,142nd,151st,150th,186th,191st,153rd,83rd,105th,71st,122nd,122nd,67th,261st,307th,122nd
eastern-washington,49th,114th,51st,106th,206th,34th,62nd,79th,94th,92nd,192nd,8th,321st,31st,168th,57th,319th,199th,285th,206th,35th
oregon,86th,222nd,41st,134th,203rd,76th,99th,190th,23rd,302nd,316th,173rd,220th,321st,310th,154th,88th,112th,314th,318th,144th
virginia-commonwealth,248th,314th,106th,176th,219th,113th,278th,280th,215th,107th,164th,34th,242nd,263rd,278th,199th,11th,7th,111th,118th,237th
iowa,9th,15th,45th,62nd,112th,82nd,17th,52nd,11th,79th,72nd,160th,81st,13th,19th,1st,262nd,32nd,344th,321st,5th
grand-canyon,39th,187th,15th,26th,146th,7th,224th,216th,219th,215th,185th,251st,117th,8th,13th,22nd,316th,180th,201st,185th,73rd
michigan,56th,215th,22nd,58th,124th,56th,166th,261st,15th,149th,225th,27th,234th,14th,72nd,37th,342nd,54th,298th,326th,68th
texas-southern,94th,87th,151st,8th,7th,144th,347th,332nd,343rd,20th,16th,210th,41st,11th,5th,252nd,106th,40th,38th,126th,105th
louisiana-state,25th,20th,77th,36th,64th,89th,99th,105th,127th,15th,46th,46th,67th,63rd,42nd,246th,52nd,194th,296th,168th,10th
st-bonaventure,158th,157th,167th,94th,61st,220th,262nd,290th,146th,230th,269th,75th,71st,170th,94th,82nd,238th,70th,330th,307th,206th
colorado,154th,228th,88th,175th,179th,155th,130th,217th,38th,124th,248th,2nd,169th,211th,203rd,138th,289th,231st,295th,247th,120th
georgetown,223rd,141st,261st,277th,191st,309th,79th,123rd,56th,132nd,189th,44th,60th,19th,16th,204th,234th,77th,42nd,277th,169th
florida-state,51st,144th,35th,63rd,113th,81st,132nd,229th,25th,104th,134th,68th,97th,148th,102nd,87th,81st,11th,91st,89th,47th
north-carolina-greensboro,60th,5th,273rd,69th,62nd,183rd,138th,46th,321st,298th,292nd,255th,21st,90th,27th,230th,66th,85th,317th,104th,125th
brigham-young,26th,105th,21st,64th,178th,21st,52nd,99th,36th,243rd,265th,118th,194th,5th,25th,27th,327th,215th,167th,110th,37th
ucla,91st,174th,66th,66th,63rd,162nd,221st,297th,40th,167th,172nd,159th,169th,201st,198th,134th,309th,225th,335th,267th,115th
texas-southern,94th,87th,151st,8th,7th,144th,347th,332nd,343rd,20th,16th,210th,41st,11th,5th,252nd,106th,40th,38th,126th,105th
abilene-christian,75th,76th,120th,90th,105th,135th,136th,145th,145th,110th,64th,269th,70th,230th,128th,5th,3rd,189th,144th,47th,70th
connecticut,132nd,78th,209th,93rd,47th,249th,231st,235th,184th,200th,214th,127th,5th,232nd,49th,195th,206th,5th,279th,64th,160th
maryland,256th,333rd,70th,290th,336th,43rd,86th,118th,84th,226th,222nd,211th,341st,103rd,293rd,158th,301st,144th,313th,328th,240th
alabama,43rd,10th,206th,215th,245th,144th,4th,4th,113th,166th,156th,185th,29th,17th,6th,108th,17th,45th,127th,94th,25th
